basalt	joint	1	g is for the giant s causeway giant s causeway northern ireland s most spectacular tourist attraction is a prime example of columnar jointing of a basalt lava flow	basalte	commun	1	elle est dure , a une température de 0 à 1 500 °c et se compose essentiellement d une roche volcanique très commune : le basalte
lava	basaltic	34	these are believed to be basaltic lava flows on a scale that dwarfs anything found on earth	lave	basaltique		
lava	basaltic	35	as basaltic lava erupts at the surface , more or less continuously for millions of years , it is constantly accreted onto the edge of the spreading plates as it cools into a hardened basalt layer	lave	basaltique		
lava	basaltic	36	volumetrically , most lava is of basaltic composition	lave	basaltique		
lava	basaltic	37	the lava lakes have been investigated in detail because they furnish natural crucibles for study of the cooling , crystallization , and chemical change of basaltic lava	lave	basaltique		
lava	basaltic	38	by contrast , basaltic lavas , which contain less silica , tend to be more fluid and have been known to travel distances exceeding 150 kilometers 90 miles before congealing figure 4.5	lave	basaltique		
lava	basaltic	39	however , felsic lavas tend to be much thicker than basaltic lavas and have much higher aspect ratios	lave	basaltique		
lava	basaltic	40	strombolian eruption , a type of volcanic eruption characterized by jetting of clots or fountains of fluid basaltic lava from a central crater	lave	basaltique		
lava	basaltic	41	the thick accumulation of laterally extensive basaltic lava flows that result from basaltic flood eruptions are called plateau or flood basalts williams and mcbirney , 1979	lave	basaltique		
lava	basaltic	42	shield volcanoes are built primarily of fluid basaltic lava flows and contain only a small percentage of pyroclastic materials	lave	basaltique		
lava	basaltic	43	at over 2,192\b0f 1,200\b0c , basaltic lava is much hotter than andesitic 1,832\b0f/1,000\b0c and dacitic 1,472\b0f/800\b0c lavas	lave	basaltique		
lava	basaltic	44	pyroclastics when basaltic lava is extruded	lave	basaltique		
lava	basaltic	45	as shown in the image here , io s surface is extraordinarily colorful , with yellows , oranges , reds , and blacks reflecting compositionally diverse eruptions , from great outpourings of basaltic lava to massive deposits of sulfur	lave	basaltique		
lava	basaltic	46	the effusion rates for historical eruptions of basaltic lava are highly variable , from 0.5 to 5000 m3/sec	lave	basaltique		
lava	basaltic	47	the crust under the ocean is thin , so lava here is basaltic , uncontaminated by other rocks , and very runny	lave	basaltique		
lava	basaltic	48	quenching and fragmentation of basaltic lavas produces an accumulation of angular , glassy fragments called hyaloclastite	lave	basaltique		
lava	basaltic	49	basaltic lava with a surface of rough , jagged blocks is called aa	lave	basaltique		
lava	basaltic	50	each mare is composed of vast sheets of basaltic lava which erupted from the broken crust associated with large impact craters	lave	basaltique		
lava	basaltic	51	tourists always want to see the red stuff, said usgs geologist tari mattox as she led me along a stream of basaltic lava flowing from a vent in kilauea	lave	basaltique		
lava	basaltic	52	rather than producing vast outpourings of basaltic lava , as occurs at oceanic sites such as hawaii , magma from the rising plume is emplaced at depth	lave	basaltique		
lava	basaltic	53	another common basaltic lava has a surface of rough , jagged blocks with dangerously sharp edges and spiny projections , called aa pronounced ah-ah figure 4.6b	lave	basaltique		
lava	basaltic	54	they eject relatively viscous basaltic lava from the throat of the volcano	lave	basaltique		
lava	basaltic	55	the term flood basalts describes the fluid , water-like , basaltic lava flows that cover an extensive region in the northwestern united states known as the columbia plateau	lave	basaltique		
lava	basaltic	56	the injection of basaltic lava into surface water can be quiescent or highly explosive	lave	basaltique		
lava	basaltic	57	etna , for example , are dominanted by basaltic lava flows , whereas mt	lave	basaltique		
lava	ropey	1	the more common ones are aa , a rough jumbled lava with a dense interior , and pahoehoe , a smooth or ropey lava	lave	visqueux	1	un dôme de lave visqueux , signalé par des lueurs incandescentes , commence à gonfler , dans le cratère sommital de l etang sec , dès la nuit du 5 au 6 mai
lava	ropey			lave	visqueux	2	l éruption a continué jusqu en 1905 avec des dizaines de nuées ardentes et l érection d une aiguille de lave visqueuse
lava	ropey			lave	visqueux	3	souvent associées à l édification d un dôme ou d une aiguille de lave visqueuse , elles caractérisent le type péléen , défini à la montagne pelée aux antilles
lava	ropey			lave	visqueux	4	les laves les plus visqueuses ne peuvent pas s écouler
lava	ropey			lave	visqueux	5	d autres laves , visqueuses , qui ne peuvent s écouler , forment alors des dômes
lava	ropey			lave	visqueux	6	la lave visqueuse s accumule autour de la bouche du cratère pour former un dôme , sorte de bouchon
lava	ropey			lave	visqueux	7	dans un deuxième temps , une aiguille de lave visqueuse a surgi , atteignant 200 m de haut
lava	ropey			lave	visqueux	8	les trachytes figurent dans la liste des laves visqueuses formant souvent les dômes
lava	ropey			lave	visqueux	9	la lave , visqueuse , ne peut s écouler et dresse , dans la bouche éruptive , un dôme couvercle , typique d une éruption péléenne où la montée de lave presque solide précède des nuées de cendres et de gaz
lava	ropey			lave	visqueux	10	au merapi en indonésie , les nuées ardentes résultent de l effondrement et de l explosion d un dôme de lave visqueuse
lava	ropey			lave	visqueux	11	dôme les laves les plus visqueuses ne peuvent pas s écouler
lava	ropey			lave	visqueux	12	dome , édifice volcanique à pentes raides de lave visqueuse qui s accumule et grossit au dessus de la bouche éruptive
lava	ropey			lave	visqueux	13	d autres laves , plus visqueuses , ne progressent que de quelques mètres par heure
lava	ropey			lave	visqueux	14	depuis 1994 , les écoulements pyroclastiques , mélange de blocs de lave visqueuse , de cendres et de gaz brûlants nuées ardentes sont canalisés vers le sud et menacent directement jogjakarta et ses faubourgs
lava	ropey			lave	visqueux	15	figure 7 l aiguille de lave visqueuse au sommet du de 1902 , photographiée le 11 mars 1903
lava	ropey			lave	visqueux	16	depuis , des remontées de lave visqueuse débordent de son cratère
lava	ropey			lave	visqueux	17	le volcan alterne des phases de croissance et d effondrement d un dôme de lave visqueuse et d émission de redoutables nuées ardentes , qui ont complètement détruit la capitale plymouth , devenue une ville fantôme
lava	ropey			lave	visqueux	18	la croissance d un dôme de lave visqueuse a débuté
lava	ropey			lave	visqueux	19	durant cette période , de septembre 1902 à juillet 1903 , s édifie la célèbre aiguille , piston de lave très visqueuse qui perce le sommet du dôme
lava	ropey			lave	visqueux	20	au contraire , les laves plus visqueuses progressent lentement et des blocs roulent les uns sur les autres
lava	ropey			lave	visqueux	21	à partir de 1922 , un petit dôme de lave visqueuse dacitique , le santiaguito , s est mis à croître dans cette caldeira
lava	ropey			lave	visqueux	22	lorsque ce dernier accède au sommet du volcan , il édifie un nouveau dôme de lave visqueuse , à côté de celui de 1902
lava	ropey			lave	visqueux	23	lorsque la pression de ces gaz devient trop élevée , des explosions volatilisent l amas de lave visqueuse
lava	ropey			lave	visqueux	24	il s agit d un magma très acide , riche en silice , qui donne des laves visqueuses formant des édifices volcaniques très élevés appelés strato-volcans
lava	ropey			lave	visqueux	25	elles se présentent en dômes , en coulées courtes et épaisses laves visqueuses ou en blocs dans les ignimbrites
lava	ropey			lave	visqueux	26	surpris ! un petit dôme de lave visqueuse , tout rond , a surgit en son centre
lava	ropey			lave	visqueux	27	ceux qui éjectent des cendres sont des cônes puy pariou en auvergne à flancs raides alors que ceux qui produisent des laves visqueuses sont des dômes puy de dôme en forme de chaudron renversé
lava	ropey			lave	visqueux	28	le dôme de lave visqueuse de la soufrière , hérissé d aiguilles , montre une gigantesque fracture semblant résulter d un coup d épée cyclopéen
lava	ropey			lave	visqueux	29	lors d une éruption plinienne du nom de pline l ancien , disparu dans l éruption similaire du vésuve en 79 après jc , les gaz prisonniers de la lave visqueuse , très riche en silice , se libèrent violemment lorsque la pression dans la cheminée du volcan diminue
volcan	active	1	they immediately suspected an active volcan : only it could melt such a large area of ice	volcan	actif	1	unzen est réputé pour être un des volcans les plus actifs de la région , c est pourquoi les observatoires locaux de la ]ma et du sevo shimabara earthquake and volcano observatory de l université de kyushu suivent constamment sur place son activité
volcan	active	2	15 april 1992 p.12 slippery slopes philip howard what sort of people live on the slopes of an active volcan ? the same sort who make their homes beside chernobyl and the saint andreas fault	volcan	actif	2	cette sorte d araignée métallique de 3,6 mètres de haut devait descendre sur plus de 200 mètres à l intérieur de ce volcan actif , et envoyer par satellite des données géologiques et chimiques pendant trois jours
volcan	active			volcan	actif	3	a cette liste il faut ajouter les volcans actifs durant toute l année 1982 et qui l étaient déjà avant
volcan	active			volcan	actif	4	déjà un deuxième volcan actif nous attend : le santa-maria
volcan	active			volcan	actif	5	sur les mêmes failles de l écorce terrestre , volcans actifs et volcans éteints menacent
volcan	active			volcan	actif	6	elle concentre plus de 60 % des volcans actifs émergés de la planète
volcan	active			volcan	actif	7	le kilauea avec ses 1222 mètres d altitude est certes plus petit que ses frères mauna loa 4170 m et mauna kea 4206 m mais il se rattrape par son activité débordant ! il mérite même le titre du volcan le plus actif de la planète
volcan	active			volcan	actif	8	il convient de bien distinguer un volcan actif d un volcan éteint car un volcan actif peut être soit en activité soit en sommeil
volcan	active			volcan	actif	9	<#kra-4-9> combien compte-t-on de volcans actifs dans le monde ? pour les volcanologues , un volcan est actif s il a eu au moins une éruption dans les temps historiques
volcan	active			volcan	actif	10	2 dans le seul pacifique , on connaît au moins six de ces alignements parallèles orientés du sud-est volcan actif au nord-ouest volcan le plus ancien
volcan	active			volcan	actif	11	ii s agit en effet de l un des volcans les plus actifs du monde , tout en étant parmi les moins meurtriers
volcan	active			volcan	actif	12	culminant à 2 632 mètres au sud-est de l île , le piton de la fournaise et l un des volcans les plus actifs de la planète
volcan	active			volcan	actif	13	une surveillance en continue est effectuée pour chaque volcan actif
volcan	active			volcan	actif	14	mais notre but est un autre volcan très actif et dangereux , le merapi , la montagne de feu , qui , du haut de ses 2 911 mètres , domine la ville de jogjakarta
volcan	active			volcan	actif	15	1 la notion de volcan actif est difficile à préciser
volcan	active			volcan	actif	16	certes , les volcans actifs tremblotent , mais ce ne sont que des frissons
volcan	active			volcan	actif	17	selon ce calcul , on arrive à quelque mille trois cent cinquante volcans actifs
volcan	active			volcan	actif	18	avec la montagne pelée en martinique et la soufrière en guadeloupe , le piton de la fournaise est l un des trois volcans actifs français , et sans conteste l un des plus actifs de la planète
volcan	active			volcan	actif	19	par contre , huit volcans actifs , exceptionnels et gigantesques , ont été observés sur io , satellite de jupiter par les sondes spatiales voyager
volcan	active			volcan	actif	20	on estime aujourd hui que notre planète compte plus de 1 500 volcans actifs
volcan	active			volcan	actif	21	en equateur , ces deux cratères emboîtés l un dans l autre forment une double couronne de neige au sommet du cotopaxi , volcan actif qui culmin à 5 897 mètres
volcan	active			volcan	actif	22	on compte de 600 à 1000 volcans actifs
volcan	active			volcan	actif	23	la rencontre avec le volcanologue jacques durieux , cofondateur du groupe d étude des volcans actifs et excellent vulgarisateur , a contribué à lever les réticences
volcan	active			volcan	actif	24	l archipel des îles hawaii montre un tel alignement de plusieurs îles volcaniques de plus en plus jeunes du nord-ouest au sud-est : niihau , kauai , oahu , molokai.jusqu à l île d hawaii surnommée big island , avec ses deux volcans actifs imposants , le mauna loa et le kilauea
volcan	active			volcan	actif	25	il avait en effet été frappé par la complète similitude entre les roches émises par les volcans actifs italiens etna , vésuve et par celles constitutives des cônes auvergnats
volcan	active			volcan	actif	26	la répartition des principaux volcans actifs dans le monde
volcan	active			volcan	actif	27	de l argentine à l alaska et de la péninsule du kamchatka russie à la nouvelle zélande , la ceinture de feu du pacifique est le plus grand ensemble volcanique du monde avec plus de 60% des volcans actifs émergés de la planète
volcan	active			volcan	actif	28	je me suis rendu sur de nombreux volcans actifs , parfois en pleine éruption
volcan	active			volcan	actif	29	le volcan le plus actif d europe continentale produit en effet depuis la semaine dernière des coulées de lave ininterrompues en provenance de trois cratères
volcan	active			volcan	actif	30	<#kra-4-38> un volcan actif fait-il beaucoup de bruit ? les sons qui accompagnent les éruptions volcaniques sont souvent impressionnants ou inquiétants
volcan	active			volcan	actif	31	dans la partie orientale de l île , une centaine d hommes descend chaque jour dans les entrailles du volcan actif pour en extraire le soufre
volcan	active			volcan	actif	32	juste à coté un petit cratère viti l enfer contient un lac d eau chaude de couleur verte : on peut ainsi se baigner au milieu d un paysage englacé ! plus au sud , l hekla , volcan le plus actif de l île , a connu plusieurs éruptions au cours du xxe siècle , la dernière remontant à février 2000
volcan	active			volcan	actif	33	le pourtour de l océan pacifique , de la nouvelle-zélande au chili , est jalonné de quelque trois cent cinquante volcans actifs 1 sur les six cents environ recensés dans le monde
volcan	active			volcan	actif	34	au centre de l une d elle , le volcan actif culmine à 391 m
volcan	active			volcan	actif	35	possédant des forges dans tous les volcans actifs de la méditerranée , de l etna à santorin , il était aidé dans sa tâche par cent cyclopes
volcan	active			volcan	actif	36	l éruption du pinatubo , l un des 21 volcans actifs de l arc volcanique des philippines , a jeté un demi million de personnes sur les routes
volcan	active			volcan	actif	37	<#mon-7-90> le monde du 01/01/1993 pag : 8 titre de l articl : escale antarctique pour dante le martien un robot destiné à l exploration de la planète mars , devait tenter , jeudi 31 décembre , une descente dans le cratère du mont erebus , un volcan actif de l antarctique
volcan	active			volcan	actif	38	le piton le plus ausculté du monde de plus en plus , on tend à surveiller en continu les volcans actifs réputés dangereux , à l aide d appareils télécommandés alimentés par piles solaires
volcan	active			volcan	actif	39	ce volcan actif , unique au monde , doit sa célébrité à ses laves si particulières , de compositions carbonatées , alors que toutes les autres laves sont silicatées
volcan	active			volcan	actif	40	on dénombre environ cinq cents volcans actifs situés au-dessus du niveau de la mer et pour la plupart groupés le long des fractures de l écorce terrestre
volcan	active			volcan	actif	41	sismographe <#kra-4-44> comment le volcanologue se protège-t-il ? trois dangers principaux guettent le volcanologue qui travaille sur le volcan actif : les gaz , la chaleur et les retombées de cendres et de blocs
volcan	active			volcan	actif	42	les autorités n ont jamais établi de plan d évacuation , contrairement à ce qu elles ont fait pour d autres volcans plus actifs tel que le mont usu , en hokkaido , qui a fait éruption en 2000 sans causer de victimes
volcan	active			volcan	actif	43	ceci constitue en effet l aspect moyen d un volcan actif en période de rémission
volcan	active			volcan	actif	44	l etna est le plus grand volcan actif d europe
volcan	active			volcan	actif	45	on recense plus de deux cents volcans actifs dans le pays , l un d eux étant statistiquement susceptible d entrer en éruption tous les cinq ans
volcan	active			volcan	actif	46	le karymsky est l un des volcans les plus actifs du kamchatka oriental
volcan	active			volcan	actif	47	desmarest , qui connaît moins les volcans actifs que les volcans éteints , est moins enclin à contester les idées communément admises à son époque en volcanologie
volcan	active			volcan	actif	48	a big island , 137 000 personnes vivent sur les flancs des deux volcans actifs de l archipel : le mauna loa et le kilauea
volcan	active			volcan	actif	49	comment sont répartis les volcans actifs dans le monde ? les 1 500 volcans actifs reconnus ne sont pas répartis de manière aléatoire à la surface de la terre
volcan	active			volcan	actif	50	pas moins de cent volcans actifs , et si différents , y ont été répertoriés
volcan	active			volcan	actif	51	- l indonésie a désormais sur son sol 109 volcans actifs , c est ce qu a affirmé le journal jakarta kompas en saluant la naissance de l anak ranaka enfant de ranaka dans l ouest de l île de florès
volcan	active			volcan	actif	52	504 université paris-sud , 91405 orsay et iufm , rp 815 , 78008 versailles e-mail : bardizef@geol.u-psud.fr htt ://www.multimania.com/lave/gdesfig_jm-b.html le vésuve est l un des volcans les plus actifs et les plus dangereux de la planète
volcan	active			volcan	actif	53	l ensemble le plus connu est la ceinture de feu du pacifique qui concentre plus de 60 % des volcans actifs émergés ; - à l aplomb des points chauds : ce volcanisme relativement rare est lié à des remontées de panaches chauds d origine très profonde
volcan	active			volcan	actif	54	la région du pacifique couvrant les îles kouriles , au nord du japon , la péninsule du kamchatka , les îles aléoutiennes et le sud de l alaska compte au moins une centaine de volcans actifs
volcan	active			volcan	actif	55	<#kra-4-12> quels sont les plus grands volcans de la terre ? le plus gigantesque de tous les volcans actifs du monde est américain
volcan	active			volcan	actif	56	depuis , seules des émergences thermominérales sur le flanc ouest du volcan , et une très faible activité sismique nous rappellent que la montagne pelée est toujours un volcan actif
volcan	active			volcan	actif	57	sur les 250 volcanologues qui , à travers le monde , travaillent régulièrement sur les volcans actifs , plusieurs ont déjà trouvé la mort
volcan	active			volcan	actif	58	roger bellone 1 haroun tazieff et max derruau rappellent dans leur dernier ouvrage le volcanisme et sa prévention masson , 1990 , qu on appelle classiquement volcan actif celui dont on connaît au moins une éruption historique - c est-à-dire qui a eu lieu depuis le viè ou le viiè siècle avant j.-c
volcan	active			volcan	actif	59	la france possède cependant trois volcans actifs
volcan	active			volcan	actif	60	dans l etat de washington , à 80 km au nord de portland et 150 de la ville de seattle , le mont saint helens est le plus jeune 50 000 ans des quinze volcans actifs de la chaîne des cascades
volcan	active			volcan	actif	61	le sakurajima , sorte de jumeau oriental du vésuve , est l un des volcans les plus actifs et les plus dangereux du japon
volcan	active			volcan	actif	62	ce volcan , très actif émet régulièrement des coulées de lave double page précédente et , plus rarement , des cendres page 8$$$
volcan	active			volcan	actif	63	des volcans actifs d io , simples trous dans le sol , aux géants de mars , des volcans soupçonnés sur notre soeur vénus au cryovolcanisme découvert sur triton , le champ d observation des volcanologues s est extraordinairement élargi en quelques années
volcan	active			volcan	actif	64	montagne pelée la montagne pelée est le volcan actif de l île de la martinique aux antilles
volcan	active			volcan	actif	65	l océan pacifique , pris en étau entre les continents asiatique et américain qui convergent , est bordé d une guirlande quasi ininterrompue de volcans actif : c est la ceinture de feu , à laquelle appartiennent , bien sûr , l unzen et le pinatubo
volcan	active			volcan	actif	66	cette date marque le début d une mise sous surveillance des volcans actifs
volcan	active			volcan	actif	67	plus de 60 % des volcans actifs terrestres bordent la plaque du pacifique , délimitant ce qu on appelle la ceinture de feu
volcan	active			volcan	actif	68	ii est cependant possible d approcher le plus haut volcan actif d europe en se rendant aux monts sivestri 2 000 mètres , par la route de zafferana à l est , ou par le sud , en passant par nicolosi
volcan	active			volcan	actif	69	mais surtout , nous avons repéré des sites actifs sur des volcans latéraux , où la vie est plus continue et longue que sur les dorsales
volcan	active			volcan	actif	70	l imagination des hommes vivant au pied des volcans actifs n est pas seulement l apanage des civilisations méditerranéennes
volcan	active			volcan	actif	71	au sud du japon , dans la baie de kagoshima , le volcan actif sakurajima reliée à la terre depuis les coulées de lave de 1915 , domine le paysage
volcan	active			volcan	actif	72	entre 600 et 1 300 volcans actifs sont répartis sur les terres émergées
volcan	active			volcan	actif	73	le merapi altitude de plus de 2 900 m mais qui augmente chaque année , la montagne de feu , volcan le plus actif et le plus dangereux , émet régulièrement de redoutables nuées ardentes
volcan	active			volcan	actif	74	je suis étonné par la coexistence de ces trois volcans actifs , voisins mais si peu semblables
volcan	active			volcan	actif	75	les premiers habitants de la péninsule se sont toujours tenus à distance des volcans actifs
volcan	active			volcan	actif	76	si cette hypothèse se confirmait , triton serait le troisième corps céleste connu du système solaire doté de volcans actifs , avec la terre et io , un satellite de jupiter
volcan	active			volcan	actif	77	lors de mission sur le terrain , il s agit d observer les dynamismes des volcans actifs , de procéder à la mesure de certains paramètres température des gaz , petits séismes précurseurs d une phase éruptive plus importante
volcan	active			volcan	actif	78	par exemple la ville de kagoshima , de 500 000 habitants , sise au pied du volcan actif sakurajima , est entièrement évacuée , chaque 12 janvier , anniversaire de la catastrophe de l année 1914
volcan	active			volcan	actif	79	des volcans actifs crachent du soufre dans l espace , qui retombe par plaques immenses à sa surface
volcan	active			volcan	actif	80	dans certaines régions , comme au japon , les volcans actifs font partie intégrante de la vie quotidienne
volcan	active			volcan	actif	81	on n y connaît pas de volcans actifs actuellement
volcan	active			volcan	actif	82	le 15 juin 1991 , après six siècles d inactivité et alors qu il n est même pas répertorié sur la liste des volcans actifs du globe , le pinatubo entre en éruption
volcan	active			volcan	actif	83	les volcans actifs du kamchatka se situent tous sur une bande de 700km sur 80 , le long de la côte est : zone de subduction où la plaque pacifique plonge sous la plaque eurasie , à une vitesse proche de 10 cm par an
volcan	active			volcan	actif	84	autour du hekla l ascension à pied du volcan le plus actif d islande est pénible à cause des
volcan	active			volcan	actif	85	la cordillère des andes , plus hauts sommets du globe après la chaîne himalayenne , abrite le cotopaxi , le plus haut volcan actif du monde
volcan	active			volcan	actif	86	est au contraire tenu pour toujours actif un volcan dont l actuelle période de repos n est pas considérablement plus étendue que la plus longue de celles qu il a connues tout au long de son existence
volcan	active			volcan	actif	87	 28 janvier au 21 février grimsvôtn islande , ce volcan actif emprisonné sous le glacier vatnajôkull émet une grosse coulée de boue provoquée par la fonte des glaciers par la chaleur volcanique ; son débit est de 2 000 mètres cubes à la seconde , son volume de 1,3 kilomètre cube
volcan	active			volcan	actif	88	c est le plus grand volcan actif d europe
volcan	active			volcan	actif	89	de quoi vous donner envie , après cette sage préface , de participer à l un des nombreux circuits organisés également par fnac voyages sur des volcans actifs ou dans des zones volcaniques spectaculaires , comme les îles éoliennes le stromboli , la réunion ou l indonésie
volcan	active			volcan	actif	90	ses îles s alignent sur une direction nord-ouest sud-est , et leurs âges respectifs croissent régulièrement à mesure que l on s éloigne d hawaii et de ses volcans actifs
volcan	active			volcan	actif	91	le 30 mars , pour imiter son grand frère , le kilauea , l autre volcan actif de hawaii , éjecta une fontaine de lave à 160 mètres de haut et une coulée de 10 kilomètres de long
volcan	active			volcan	actif	92	elle comprend plusieurs dizaines de volcans actifs présentant des risques importants
volcan	active			volcan	actif	93	2 quel est le plus grand volcan actif de la planèt ? le mauna loa 4139 mètres , à hawai : 250 kilomètres de diamètre à la base , 9 000 mètres de haut à partir du fond de l océan et un volume de 40 000 kilomètres cubes
volcan	active			volcan	actif	94	la plus haute montagne de la terre ne se trouve pas dans l himalaya , mais sur l île d hawaii big island , c est le mauna loa , le plus gigantesque des volcans actifs du globe qui s élève à 9 753 m au-dessus du fond de l océan dont 4 168 m au-dessus du niveau de la mer
volcan	active			volcan	actif	95	les volcans actifs forment le cercle de feu du pacifique , depuis la cordillère des andes , l amérique centrale et l amérique du nord , l alaska , les îles aléoutiennes , le kamchatka russe , le japon , les philippines , jusqu à la nouvelle-guinée , les nouvelles-hébrides et la nouvelle-zélande
volcan	active			volcan	actif	96	<#kra-4-6> y a-t-il des volcans actifs sous la mer ? en fait , l activité volcanique est beaucoup plus importante sous les océans que sur la terre ferme
volcan	active			volcan	actif	97	soufrière de guadeloupe la soufrière de guadeloupe est un volcan actif , situé au sud de la presqu île de basse-terre , dans l île de la guadeloupe aux antilles
volcan	active			volcan	actif	98	avec plus de 200 volcans actifs , on estime qu à elle seule , au cours des cinq derniers siècles , l islande a produit le tiers des émanations de lave du monde
volcan	active			volcan	actif	99	sur 19 des 83 volcans actifs que compte le japon , la japan meteorological agency jma a installé des observatoires locaux qui ont pour but d alerter les populations locales des dangers issus des phénomènes anormaux
volcan	active			volcan	actif	100	prévoir les éruptions : le défi des volcanologues volcan actif , volcan éteint certains volcans actifs aujourd hui sont âgés de plusieurs centaines de milliers d années
volcan	active			volcan	actif	101	mais on envisage déjà d utiliser directement l énergie volcanique en pompant la chaleur dans les réservoirs de magma enfouis sous les volcans actifs
volcan	active			volcan	actif	102	les volcans actifs d islande , puissants et brutaux , ne sont pas loin , camouflés sous les glaces
volcan	active			volcan	actif	103	impensable , en effet , de déployer l arsenal technologique présent sur la fournaise sur chacun des trois cents à quatre cents volcans actifs du monde
volcan	active			volcan	actif	104	volcans actifs , volcanisme résiduel et hydrothermalisme sources chaudes , en particulier celles des dorsales jouent un grand rôle dans les transferts de chaleur dans la lithosphère
volcan	active			volcan	actif	105	gaz les volcans actifs émettent des gaz en abondance , y compris entre les phases d éruption
volcan	active			volcan	actif	106	une nation a magnifiquement compris qu il faut apprendre à vivre avec des volcans actifs : le japon
volcan	active			volcan	actif	107	loki est le volcan le plus actif du système solaire
volcan	active			volcan	actif	108	dans le nord de la tanzanie , l ol doinyo lengaï est un volcan très actif , vénéré par les tribus masaï
volcan	active			volcan	actif	109	le sud-ouest de l alaska est certainement l endroit au monde où le plus grand nombre de volcans actifs sont enfouis sous des glaciers
volcan	active			volcan	actif	110	les volcans les plus actifs du système solaire se trouvent sur io , l une des lunes de jupiter
volcan	active			volcan	actif	111	le catalogue volcans du monde , publié par la smithsonian institution de washington , recense quelque 600 volcans actifs , en excluant , et pour cause , la quasi-totalité des volcans sous-marins , qui nous sont inconnus
volcan	active			volcan	actif	112	loin devant le japon , les etats-unis et la russie , l indonésie est le pays qui abrite le plus de volcans actifs au monde
volcan	active			volcan	actif	113	les français de la métropole ont la chance d habiter un pays où les séismes sont rares et les volcans actifs absents
volcan	active			volcan	actif	114	il a un volume dix fois plus faible que celui du mauna loa , mais dix fois plus important que celui de l etna 3 340 mètres , volcan très actif de sicile
volcan	active			volcan	actif	115	sur cette île de 103 000 kilomètres carrés , composée à 99,9 % de roches d origine magmatique , les volcans actifs sont légion
volcan	active			volcan	actif	116	d autant que l irremplaçable expérience sur les volcans actifs ne s acquiert que lentement
volcan	active			volcan	actif	117	beaucoup d entre elles possèdent un volcan actif , le plus souvent baptisé soufrière , que l on va visiter du nord au sud
volcan	active			volcan	actif	118	hawaii est un archipel des etats-unis , situé au cœur du pacifique et comprenant plusieurs volcans actifs
volcan	active			volcan	actif	119	eruption , en 1984 , au kilauea hawaii , l un des volcans les plus actifs du siècle
volcan	active			volcan	actif	120	a hawaii , les volcans actifs mauna loa et kilauea sont le domaine de la déesse pelé : d ailleurs , les petites projections ovoïdes de lave sont appelées larmes de pelé et les fins filaments de lave cheveux de pelé
volcan	active			volcan	actif	121	présence également des clermontois sur le piton de la fournaise , volcan actif de la réunion
volcan	active			volcan	actif	122	ces volcans actifs ne se répartissent pas aléatoirement sur la surface du globe
basalt	pillow	1	subglacial eruptions produced pillow basalts porter , 1987	basalte	coussin	1	de bas en haut , on identifie des péridotites , des gabbros lités à la base et massifs dans la partie supérieure , un ensemble de filons subverticaux , des basaltes en coussins ou pillow-lavas , et enfin des sédiments siliceux ou radiolarites
basalt	pillow	2	when basalt enters water passively , it forms pillow basalt	basalte	coussin		
basalt	pillow	3	typically , the lava quenches quickly against the bottom waters to produce characteristic bulbous shapes called pillow basalt	basalte	coussin		
basalt	pillow	4	pillow basalts	basalte	coussin		
basalt	pillow	5	fissure eruptions are common along mid-ocean ridges and produce pillow basalts	basalte	coussin		
basalt	pillow	6	basalt fragmentation can occur by the explosive eruption process , or by an essentially nonexplosive process associated with the spalling of pillow basalt rinds by thermal shock or chill shattering	basalte	coussin		
basalt	pillow	7	on top of the dikes lies cooled , fractured lava called pillow basalt , rife with cracks and voids through which seawater circulates	basalte	coussin		
basalt	rhyolite	1	the compositional spectrum of these rock types may vary from basalt to rhyolite in a single volcano; however , the overall average composition of stratovolcanoes is andesitic	basalte	rhyolite	1	figure 5 rhyolite et basalte les basaltes lave cordée au premier plan sont issus de magma très fluide , pauvre en silice mais dense
basalt	rhyolite			basalte	rhyolite	2	du basalte ou de la rhyolite
basalt	andesite	1	the magma produced by this mechanism varies from basalt to andesite in composition	basalte	andésite	1	c est alors une roche volcanique qui , selon sa nature , s appelle basalte , andésite , rhyolite
basalt	column	1	scoria cones are generated by strombolian eruptions , which produce eruptive columns of basalt tephra generally only a few hundred meters high	basalte	colonne	1	desmarest commence ses recherches en volcanologie en 1763 , en auvergne , où il étudie les colonnes de basalte : il est le premier à reconnaître leur origine volcanique
basalt	column	2	basalt columns	basalte	colonne	2	il pencherait plutôt pour une doctrine neptuniste , reléguant le volcanisme au second rang par rapport au travail incessant de l eau.les colonnes de basalte auvergnates . toutes les apparences concourent à identifier desmarest comme l auteur du manuscrit de rouen
basalt	column	3	23 catherine hickson above examines columns of basalt formed from cooling lava about 10,000 years ago near today s whistler , b.c	basalte	colonne		
basalt	tuff	1	a construction of volcanic tuff and basalt , it is dominated both physically and economically by the volcano	basalte	tuf	1	les produits dérivés des volcans , comme le tuf , le basalte , la pierre ponce , s offrent à de très nombreux usages
cinder	accumulation	1	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	monceau	1	ici , seule la nature s autorise le plus grand désordre , laissant traîner partout des monceaux de scories , déroulant jusqu à la mer des champs de lave déchiquetée ou convulsée
cinder	accumulation	2	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	monceau		
